('music', 'NN')
('the', 'DT')
('value', 'NN')
('is', 'VBZ')
('turned', 'VBN')
('positive', 'JJ')
('by', 'IN')
('gain', 'NN')
('in', 'IN')
('binding', 'VBG')
('energy', 'NN')
('nucleus', 'NN')
('with', 'IN')
('surplus', 'NN')
('of', 'IN')
('protons', 'NNS')
('can', 'MD')
('also', 'RB')
('capture', 'VB')
('an', 'DT')
('electron', 'NN')
('from', 'IN')
('the', 'DT')
('internal', 'JJ')
('k-shell', 'NN')
('of', 'IN')
('the', 'DT')
('atomic', 'JJ')
('cloud', 'NN')
('the', 'DT')
('other', 'JJ')
('electrons', 'NNS')
('of', 'IN')
('the', 'DT')
('atom', 'NN')
('will', 'MD')
('then', 'RB')
('cascade', 'VB')
('down', 'RP')
('to', 'TO')
('fill', 'VB')
('the', 'DT')
('gap', 'NN')
('since', 'IN')
('lepton', 'NN')
('disappears', 'VBZ')
('in', 'IN')
('the', 'DT')
('capture', 'NN')
('neutrino', 'NN')
('must', 'MD')
('be', 'VB')
('emitted', 'VBN')
('to', 'TO')
('conserve', 'VB')
('lepton', 'JJ')
('number', 'NN')
('all', 'PDT')
('these', 'DT')
('decays', 'NNS')
('are', 'VBP')
('isobar', 'VBN')
('they', 'PRP')
('have', 'VBP')
('Ã\x83Â¢Ã\x82Â\x88Ã\x82Â\x86a', 'VBN')
('=', 'JJ')
('0', 'CD')
('and', 'CC')
('Ã\x83Â¢Ã\x82Â\x88Ã\x82Â\x86z', 'NNP')
('=', 'NNP')
('Ã\x83Â¢Ã\x82Â±1', 'NNP')
('since', 'IN')
('beta', 'NN')
('decays', 'NNS')
('are', 'VBP')
('three', 'CD')
('body', 'NN')
('processes', 'VBZ')
('the', 'DT')
('spectrum', 'NN')
('of', 'IN')
('the', 'DT')
('emitted', 'JJ')
('electron', 'NN')
('or', 'CC')
('positron', 'NN')
('is', 'VBZ')
('continuous', 'JJ')
('one', 'CD')
('it', 'PRP')
('has', 'VBZ')
('the', 'DT')
('shape', 'NN')
('which', 'WDT')
('is', 'VBZ')
('sketched', 'VBN')
('in', 'IN')
('this', 'DT')
('graph', 'NN')
('the', 'DT')
('neutrino', 'NN')
('interacts', 'VBZ')
('only', 'RB')
('very', 'RB')
('weakly', 'JJ')
('with', 'IN')
('matter', 'NN')
('it', 'PRP')
('will', 'MD')
('normally', 'RB')
('escape', 'VB')
('undetected', 'JJ')
('this', 'DT')
('is', 'VBZ')
('also', 'RB')
('the', 'DT')
('reason', 'NN')
('why', 'WRB')
('the', 'DT')
('neutrino', 'NN')
('has', 'VBZ')
('taken', 'VBN')
('so', 'RB')
('long', 'JJ')
('to', 'TO')
('be', 'VB')
('discovered', 'VBN')
('neutrinos', 'JJ')
('and', 'CC')
('anti-neutrinos', 'NNS')
('are', 'VBP')
('fermions', 'NNS')
('with', 'IN')
('zero', 'CD')
('electric', 'JJ')
('charge', 'NN')
('and', 'CC')
('very', 'RB')
('small', 'JJ')
('mass', 'NN')
('the', 'DT')
('maximum', 'JJ')
('electron', 'NN')
('energy', 'NN')
('is', 'VBZ')
('obtained', 'VBN')
('when', 'WRB')
('the', 'DT')
('neutrino', 'NN')
('is', 'VBZ')
('produced', 'VBN')
('almost', 'RB')
('at', 'IN')
('rest', 'NN')
('its', 'PRP$')
('maximum', 'JJ')
('value', 'NN')
('then', 'RB')
('approaches', 'VBZ')
('the', 'DT')
('value', 'NN')
('like', 'IN')
('it', 'PRP')
('would', 'MD')
('in', 'IN')
('two', 'CD')
('body', 'NN')
('decay', 'NNS')
('when', 'WRB')
('one', 'CD')
('measures', 'VBZ')
('this', 'DT')
('energy', 'NN')
('one', 'CD')
('can', 'MD')
('establish', 'VB')
('an', 'DT')
('upper', 'JJ')
('limit', 'NN')
('on', 'IN')
('the', 'DT')
('neutrino', 'NN')
('mass', 'NN')
('by', 'IN')
('energy', 'NN')
('conservation', 'NN')
('the', 'DT')
('video', 'NN')
('2.5a', 'CD')
('introduces', 'VBZ')
('the', 'DT')
('exponential', 'JJ')
('decay', 'NN')
('law', 'NN')
('which', 'WDT')
('describes', 'VBZ')
('the', 'DT')
('time', 'NN')
('evolution', 'NN')
('of', 'IN')
('this', 'DT')
('and', 'CC')
('other', 'JJ')
('decay', 'NN')
('processes', 'NNS')
('at', 'IN')
('the', 'DT')
('quark', 'NN')
('level', 'NN')
('beta', 'NN')
('decay', 'NN')
('proceeds', 'NNS')
('via', 'IN')
('the', 'DT')
('exchange', 'NN')
('of', 'IN')
('boson', 'NN')
('which', 'WDT')
('is', 'VBZ')
('the', 'DT')
('gauge', 'NN')
('boson', 'NN')
('mediating', 'VBG')
('the', 'DT')
('weak', 'JJ')
('force', 'NN')
('like', 'IN')
('it', 'PRP')
('is', 'VBZ')
('shown', 'VBN')
('in', 'IN')
('this', 'DT')
('feynman', 'JJ')
('graph', 'NN')
('the', 'DT')
('large', 'JJ')
('mass', 'NN')
('of', 'IN')
('this', 'DT')
('boson', 'NN')
('is', 'VBZ')
('responsible', 'JJ')
('for', 'IN')
('the', 'DT')
('short', 'JJ')
('range', 'NN')
('of', 'IN')
('the', 'DT')
('weak', 'JJ')
('force', 'NN')
('and', 'CC')
('its', 'PRP$')
('weakness', 'NN')
('at', 'IN')
('low', 'JJ')
('energies', 'NNS')
('neutrinos', 'NNS')
('are', 'VBP')
('very', 'RB')
('peculiar', 'JJ')
('particles', 'NNS')
('their', 'PRP$')
('generations', 'NNS')
('can', 'MD')
('mix', 'VB')
('with', 'IN')
('each', 'DT')
('other', 'JJ')
('their', 'PRP$')
('mass', 'NN')
('is', 'VBZ')
('the', 'DT')
('lightest', 'JJS')
('among', 'IN')
('all', 'DT')
('particles', 'NNS')
('and', 'CC')
('probably', 'RB')
('in', 'IN')
('the', 'DT')
('order', 'NN')
('of', 'IN')
('milli', 'NN')
('electron', 'NN')
('volt', 'NN')
('it', 'PRP')
('is', 'VBZ')
('not', 'RB')
('even', 'RB')
('clear', 'JJ')
('if', 'IN')
('neutrinos', 'JJ')
('and', 'CC')
('anti-neutrinos', 'NNS')
('are', 'VBP')
('really', 'RB')
('different', 'JJ')
('particles', 'NNS')
('their', 'PRP$')
('charge', 'NN')
('is', 'VBZ')
('the', 'DT')
('same', 'JJ')
('and', 'CC')
('they', 'PRP')
('have', 'VBP')
('no', 'DT')
('magnetic', 'JJ')
('dipole', 'NN')
('moment', 'NN')
('contrary', 'JJ')
('to', 'TO')
('other', 'JJ')
('neutral', 'JJ')
('particles', 'NNS')
('like', 'IN')
('the', 'DT')
('neutron', 'NN')
('for', 'IN')
('example', 'NN')
('the', 'DT')
('definitive', 'JJ')
('answer', 'NN')
('will', 'MD')
('come', 'VB')
('from', 'IN')
('experiments', 'NNS')
('searching', 'VBG')
('for', 'IN')
('what', 'WP')
('is', 'VBZ')
('called', 'VBN')
('double', 'JJ')
('beta', 'NN')
('decay', 'NN')
('they', 'PRP')
('deal', 'VBP')
('with', 'IN')
('nuclei', 'NNS')
('where', 'WRB')
('two', 'CD')
('beta', 'NN')
('decays', 'NNS')
('happen', 'VB')
('simultaneously', 'RB')
('to', 'TO')
('reach', 'VB')
('the', 'DT')
('value', 'NN')
('of', 'IN')
('stability', 'NN')
('if', 'IN')
('neutrino', 'NN')
('and', 'CC')
('antineutrino', 'NN')
('are', 'VBP')
('really', 'RB')
('the', 'DT')
('same', 'JJ')
('particle', 'NN')
('one', 'CD')
('of', 'IN')
('them', 'PRP')
('can', 'MD')
('then', 'RB')
('arrange', 'VB')
('the', 'DT')
('lepton', 'NN')
('number', 'NN')
('of', 'IN')
('the', 'DT')
('other', 'JJ')
('one', 'CD')
('such', 'JJ')
('that', 'IN')
('there', 'EX')
('are', 'VBP')
('no', 'DT')
('neutrinos', 'JJ')
('emitted', 'VBN')
('in', 'IN')
('the', 'DT')
('process', 'NN')
('at', 'IN')
('all', 'DT')
('if', 'IN')
('they', 'PRP')
('are', 'VBP')
('not', 'RB')
('identical', 'JJ')
('two', 'CD')
('neutrinos', 'NNS')
('must', 'MD')
('always', 'RB')
('be', 'VB')
('emitted', 'VBN')
('in', 'IN')
('the', 'DT')
('process', 'NN')
('of', 'IN')
('double', 'JJ')
('beta', 'NN')
('decay', 'NN')
('for', 'IN')
('recent', 'JJ')
('review', 'NN')
('of', 'IN')
('the', 'DT')
('experimental', 'JJ')
('situation', 'NN')
('please', 'VB')
('see', 'VB')
('the', 'DT')
('article', 'NN')
('by', 'IN')
('rodejohann', 'NN')
('cited', 'VBN')
('on', 'IN')
('the', 'DT')
('bottom', 'NN')
('of', 'IN')
('this', 'DT')
('slide', 'NN')
('weak', 'JJ')
('interactions', 'NNS')
('have', 'VBP')
('two', 'CD')
('more', 'JJR')
('peculiarities', 'NNS')
('the', 'DT')
('first', 'JJ')
('one', 'NN')
('is', 'VBZ')
('that', 'IN')
('only', 'RB')
('the', 'DT')
('left-handed', 'JJ')
('part', 'NN')
('of', 'IN')
('the', 'DT')
('quark', 'NN')
('and', 'CC')
('lepton', 'NN')
('fields', 'NNS')
('participate', 'VB')
('in', 'IN')
('the', 'DT')
('interaction', 'NN')
('what', 'WP')
('we', 'PRP')
('mean', 'VBP')
('by', 'IN')
('that', 'DT')
('is', 'VBZ')
('that', 'IN')
('only', 'RB')
('matter', 'NN')
('particles', 'NNS')
('will', 'MD')
('spin', 'VB')
('anti-parallel', 'JJ')
('to', 'TO')
('the', 'DT')
('direction', 'NN')
('of', 'IN')
('motion', 'NN')
('interact', 'JJ')
('via', 'IN')
('the', 'DT')
('weak', 'JJ')
('force', 'NN')
('the', 'DT')
('opposite', 'JJ')
('is', 'VBZ')
('true', 'JJ')
('for', 'IN')
('matter', 'NN')
('anti-particles', 'NNS')
('only', 'RB')
('right-handed', 'JJ')
('anti-particles', 'NNS')
('which', 'WDT')
('have', 'VBP')
('the', 'DT')
('spin', 'NN')
('parallel', 'NN')
('to', 'TO')
('the', 'DT')
('direction', 'NN')
('of', 'IN')
('motion', 'NN')
('can', 'MD')
('interact', 'VB')
('neutrinos', 'NNS')
('and', 'CC')
('down', 'RB')
('type', 'NN')
('quarks', 'NNS')
('and', 'CC')
('that', 'DT')
('is', 'VBZ')
('the', 'DT')
('second', 'JJ')
('peculiarity', 'NN')
('which', 'WDT')
('participate', 'VBP')
('in', 'IN')
('weakened', 'JJ')
('directions', 'NNS')
('are', 'VBP')
('mixtures', 'NNS')
('of', 'IN')
('the', 'DT')
('corresponding', 'JJ')
('real', 'JJ')
('particles', 'NNS')
('one', 'CD')
('denotes', 'VBZ')
('the', 'DT')
('neutrino', 'NN')
('mixtures', 'NNS')
('of', 'IN')
('nu_e', 'NN')
('nu_Ã\x83Â¢Ã\x82Âµ', 'NN')
('and', 'CC')
('nu_tau', 'RB')
('according', 'VBG')
('to', 'TO')
('their', 'PRP$')
('generation', 'NN')
('they', 'PRP')
('are', 'VBP')
('mixtures', 'NNS')
('of', 'IN')
('the', 'DT')
('real', 'JJ')
('particles', 'NNS')
('nu_l', 'RB')
('nu_m', 'NNS')
('and', 'CC')
('nu_h', 'NNS')
('which', 'WDT')
('we', 'PRP')
('have', 'VBP')
('introduced', 'VBN')
('in', 'IN')
('the', 'DT')
('first', 'JJ')
('module', 'NN')
('the', 'DT')
('quark', 'NN')
('mixtures', 'NNS')
('are', 'VBP')
('denoted', 'VBN')
('by', 'IN')
('dÃ\x83Â¢Ã\x82Â\x90Ã\x82Â\x99', 'NN')
('sÃ\x83Â¢Ã\x82Â\x90Ã\x82Â\x99', 'NN')
('and', 'CC')
('bÃ\x83Â¢Ã\x82Â\x90Ã\x82Â\x99', 'NN')
('for', 'IN')
('the', 'DT')
('three', 'CD')
('generations', 'NNS')
('mixtures', 'NNS')
('of', 'IN')
('the', 'DT')
('real', 'JJ')
('particles', 'NNS')
('and', 'CC')
('b.', 'NN')
('we', 'PRP')
('will', 'MD')
('come', 'VB')
('back', 'RB')
('to', 'TO')
('these', 'DT')
('astonishing', 'VBG')
('properties', 'NNS')
('in', 'IN')
('module', 'NN')
('6', 'CD')
('when', 'WRB')
('we', 'PRP')
('discuss', 'VBP')
('weak', 'JJ')
('interactions', 'NNS')
('in', 'IN')
('more', 'JJR')
('detail', 'NN')
('what', 'WP')
('mean', 'VBP')
('by', 'IN')
('participating', 'VBG')
('in', 'IN')
('weak', 'JJ')
('interactions', 'NNS')
('is', 'VBZ')
('that', 'IN')
('only', 'RB')
('the', 'DT')
('left', 'NN')
('handed', 'VBD')
('mixtures', 'NNS')
('are', 'VBP')
('able', 'JJ')
('to', 'TO')
('emit', 'VB')
('or', 'CC')
('absorb', 'VB')
('weak', 'JJ')
('bosons', 'NNS')
('what', 'WP')
('mean', 'VBP')
('by', 'IN')
('real', 'JJ')
('particles', 'NNS')
('are', 'VBP')
('quantum', 'JJ')
('eigenstates', 'NNS')
('of', 'IN')
('the', 'DT')
('mass', 'NN')
('operator', 'NN')
('these', 'DT')
('states', 'NNS')
('propagate', 'VBP')
('with', 'IN')
('specific', 'JJ')
('velocity', 'NN')
('when', 'WRB')
('their', 'PRP$')
('energy-momentum', 'NN')
('is', 'VBZ')
('known', 'VBN')
('this', 'DT')
('is', 'VBZ')
('not', 'RB')
('the', 'DT')
('case', 'NN')
('for', 'IN')
('nu_e', 'NN')
('or', 'CC')
('for', 'IN')
('the', 'DT')
('dÃ\x83Â¢Ã\x82Â\x90Ã\x82Â\x99', 'NN')
('for', 'IN')
('example', 'NN')
('it', 'PRP')
('is', 'VBZ')
('the', 'DT')
('nu_l', 'NN')
('and', 'CC')
('the', 'DT')
('quark', 'NN')
('which', 'WDT')
('have', 'VBP')
('mass', 'NN')
('which', 'WDT')
('is', 'VBZ')
('constant', 'NN')
('of', 'IN')
('motion', 'NN')
('let', 'VB')
('us', 'PRP')
('now', 'RB')
('come', 'VBP')
('to', 'TO')
('the', 'DT')
('last', 'JJ')
('type', 'NN')
('of', 'IN')
('radioactivity', 'NN')
('the', 'DT')
('gamma', 'NN')
('decays', 'NNS')
('they', 'PRP')
('often', 'RB')
('follow', 'VBP')
('another', 'DT')
('previous', 'JJ')
('decay', 'NN')
('which', 'WDT')
('leaves', 'VBZ')
('the', 'DT')
('daughter', 'NN')
('nucleus', 'NN')
('in', 'IN')
('an', 'DT')
('excited', 'JJ')
('state', 'NN')
('it', 'PRP')
('can', 'MD')
('then', 'RB')
('fall', 'VB')
('back', 'RB')
('into', 'IN')
('its', 'PRP$')
('ground', 'NN')
('state', 'NN')
('by', 'IN')
('emitting', 'VBG')
('photon', 'NN')
('of', 'IN')
('quantized', 'JJ')
('energy', 'NN')
('the', 'DT')
('energy', 'NN')
('of', 'IN')
('the', 'DT')
('photon', 'NN')
('will', 'MD')
('correspond', 'VB')
('to', 'TO')
('the', 'DT')
('energy', 'NN')
('difference', 'NN')
('between', 'IN')
('the', 'DT')
('excited', 'JJ')
('and', 'CC')
('the', 'DT')
('ground', 'NN')
('state', 'NN')
('the', 'DT')
('study', 'NN')
('of', 'IN')
('emission', 'NN')
('and', 'CC')
('absorption', 'NN')
('of', 'IN')
('nuclear', 'JJ')
('gamma', 'NN')
('rays', 'NNS')
('thus', 'RB')
('constitutes', 'NNS')
('nuclear', 'JJ')
('spectroscopy', 'NN')
('in', 'IN')
('an', 'DT')
('analogy', 'NN')
('to', 'TO')
('atomic', 'VB')
('spectroscopy', 'NN')
('with', 'IN')
('one', 'CD')
('remarkable', 'JJ')
('difference', 'NN')
('one', 'CD')
('can', 'MD')
('not', 'RB')
('neglect', 'VB')
('the', 'DT')
('recoil', 'NN')
('of', 'IN')
('the', 'DT')
('daughter', 'NN')
('nucleus', 'NN')
('in', 'IN')
('gamma', 'NN')
('decays', 'NNS')
('the', 'DT')
('more', 'RBR')
('massive', 'JJ')
('the', 'DT')
('system', 'NN')
('the', 'DT')
('less', 'RBR')
('important', 'JJ')
('will', 'MD')
('be', 'VB')
('the', 'DT')
('recoil', 'NN')
('energy', 'NN')
('one', 'CD')
('can', 'MD')
('just', 'RB')
('freeze', 'VB')
('the', 'DT')
('nucleus', 'NN')
('into', 'IN')
('crystal', 'NN')
('structure', 'NN')
('which', 'WDT')
('has', 'VBZ')
('much', 'RB')
('larger', 'JJR')
('mass', 'NN')
('and', 'CC')
('allows', 'VBZ')
('the', 'DT')
('recoil', 'NN')
('to', 'TO')
('be', 'VB')
('reduce', 'VB')
('to', 'TO')
('almost', 'RB')
('nothing', 'NN')
('this', 'DT')
('is', 'VBZ')
('called', 'VBN')
('the', 'DT')
('mÃ\x83Â£Ã\x82Â¶ssbauer', 'NN')
('effect', 'NN')
('it', 'PRP')
('allows', 'VBZ')
('to', 'TO')
('reduce', 'VB')
('the', 'DT')
('line', 'NN')
('width', 'NN')
('of', 'IN')
('gamma', 'NN')
('decays', 'VBZ')
('to', 'TO')
('of', 'IN')
('the', 'DT')
('order', 'NN')
('of', 'IN')
('10^-7', 'JJ')
('ev', 'NN')
('which', 'WDT')
('in', 'IN')
('turn', 'NN')
('allows', 'NNS')
('to', 'TO')
('measure', 'VB')
('the', 'DT')
('relative', 'JJ')
('line', 'NN')
('separation', 'NN')
('to', 'TO')
('an', 'DT')
('accuracy', 'NN')
('to', 'TO')
('the', 'DT')
('order', 'NN')
('of', 'IN')
('10^-12', 'JJ')
('one', 'CD')
('can', 'MD')
('thus', 'RB')
('study', 'VB')
('nuclear', 'JJ')
('energy', 'NN')
('levels', 'NNS')
('with', 'IN')
('great', 'JJ')
('precision', 'NN')
('this', 'DT')
('can', 'MD')
('also', 'RB')
('be', 'VB')
('used', 'VBN')
('to', 'TO')
('measure', 'VB')
('the', 'DT')
('composition', 'NN')
('of', 'IN')
('materials', 'NNS')
('we', 'PRP')
('show', 'VBP')
('here', 'RB')
('an', 'DT')
('example', 'NN')
('of', 'IN')
('the', 'DT')
('gamma', 'NN')
('spectrum', 'NN')
('of', 'IN')
('natural', 'JJ')
('uranium', 'JJ')
('mineral', 'NN')
('it', 'PRP')
('allows', 'VBZ')
('to', 'TO')
('identify', 'VB')
('and', 'CC')
('quantify', 'VB')
('the', 'DT')
('presence', 'NN')
('of', 'IN')
('radionuclides', 'NNS')
('like', 'IN')
('ra-226', 'NN')
('pb-214', 'NN')
('and', 'CC')
('bi-214', 'JJ')
('coming', 'VBG')
('from', 'IN')
('the', 'DT')
('decay', 'JJ')
('change', 'NN')
('of', 'IN')
('u-238', 'NN')
('which', 'WDT')
('itself', 'PRP')
('is', 'VBZ')
('not', 'RB')
('gamma', 'NN')
('emitter', 'NN')
('in', 'IN')
('the', 'DT')
('next', 'JJ')
('video', 'NN')
('we', 'PRP')
('are', 'VBP')
('invited', 'VBN')
('to', 'TO')
('visit', 'VB')
('the', 'DT')
('laboratory', 'NN')
('of', 'IN')
('the', 'DT')
('nuclear', 'JJ')
('physics', 'NNS')
('course', 'NN')
('at', 'IN')
('university', 'NN')
('of', 'IN')
('geneva', 'NN')
('to', 'TO')
('see', 'VB')
('experiments', 'NNS')
('on', 'IN')
('radioactivity', 'NN')
('music', 'NN')
